trial,start_time,rt,correct,time_bar,keyboard_response,new,on_time,expected_rt,time_bar_visible,fact_id,question,answer,alpha
1,238043.56420005206,7060.236699995585,False,15000,,True,True,inf,False,8,rangi,color,0.3
2,247455.53949999157,1154.3642000760883,True,15000,color,False,True,2259.314865988815,False,8,rangi,color,0.3
3,252286.38970002066,16732.504099956714,False,15000,,True,True,inf,False,16,kaputula,pants,0.3
4,271360.0513000274,1281.5980999730527,True,15000,pants,False,True,2721.7550942705816,False,16,kaputula,pants,0.3
5,276924.52500003856,8309.9416999612,False,15000,,True,True,inf,False,25,keja,house,0.3
6,287571.1285000434,14137.826599995606,False,15000,,True,True,inf,False,68,elimu,science,0.3
7,304063.4579000762,1794.9959998950362,True,15000,house,False,True,2992.0171987133294,False,25,keja,house,0.3
8,309243.27039998025,1394.5428000297397,True,15000,science,False,True,2816.347123441116,False,68,elimu,science,0.3
9,322387.1133000357,2445.359500008635,True,15000,color,False,True,2668.208224939221,False,8,rangi,color,0.27460937500000004
10,328084.7357000457,1302.093500038609,True,15000,pants,False,True,2431.2018932096566,False,16,kaputula,pants,0.250390625
11,333282.2520000627,10845.455899951048,False,15000,,True,True,inf,False,6,afisi,office,0.3
12,346475.2802000148,7185.662799980491,False,15000,,True,True,inf,False,23,shukuru,thanks,0.3
13,356005.44660002925,inf,True,15000,office,False,True,2852.353455869779,False,6,afisi,office,0.3
14,362618.7747999793,1473.348900093697,True,15000,thanks,False,True,2603.5586059718776,False,23,shukuru,thanks,0.3
15,367865.33669999335,1829.8332000849769,True,15000,house,False,True,2503.349091670036,False,25,keja,house,0.250390625
16,372895.704900031,9027.41199999582,True,15000,science,False,True,2503.4763379347587,False,68,elimu,science,0.349609375
17,385557.37270007376,7456.0008000116795,False,15000,,True,True,inf,False,61,lugha,language,0.3
18,395352.20449999906,7550.613300059922,False,15000,,True,True,inf,False,59,wingu,cloud,0.3
19,405248.7071000505,1369.3489999277517,False,15000,luggage,False,True,2745.0207222251197,False,61,lugha,language,0.3
20,410495.08250004146,1576.0314000071958,True,15000,cloud,False,True,2559.7610932049356,False,59,wingu,cloud,0.3
21,416044.02320005465,2731.748200021684,True,15000,office,False,True,2465.122224660563,False,6,afisi,office,0.3316406249999999
22,422007.60460004676,2131.364200031385,True,15000,thanks,False,True,2465.5091403019737,False,23,shukuru,thanks,0.255859375
23,427521.2779000867,4944.916999898851,True,15000,science,False,True,2512.9604168104165,False,68,elimu,science,0.39921874999999996
24,435868.52860008366,5111.417399952188,False,15000,,True,True,inf,False,36,bustani,garden,0.3
25,443330.5638000602,1990.5707999132574,False,15000,,True,True,inf,False,51,chunga,pot,0.3
26,447661.52429999784,1117.8174000233412,True,15000,garden,False,True,2396.463193151337,False,36,bustani,garden,0.3
27,452244.1794000333,1365.6711999792606,True,15000,pot,False,True,2227.59668325923,False,51,chunga,pot,0.3
28,456507.331800065,1529.722400009632,True,15000,science,False,True,2325.6020404095852,False,68,elimu,science,0.398828125
29,461356.3928999938,1361.7427999852225,True,15000,language,False,True,2423.7426678415313,False,61,lugha,language,0.250390625
30,468684.9035000196,1136.5577999968082,True,15000,cloud,False,True,2454.3459184996154,False,59,wingu,cloud,0.250390625
31,473501.51960004587,5306.510500027798,False,15000,,True,True,inf,False,53,wakati,alarm,0.3
32,481146.7765000416,1636.1372999381274,True,15000,office,False,True,2423.673404315007,False,6,afisi,office,0.32734374999999993
33,486028.3067000564,1113.77029994037,True,15000,alarm,False,True,2434.7740203910507,False,53,wakati,alarm,0.3
34,490374.6950000059,8218.137399991974,False,15000,,True,True,inf,False,12,anga,sky,0.3

trial,start_time,rt,correct,time_bar,keyboard_response,new,on_time,expected_rt,time_bar_visible,fact_id,question,answer,alpha
1,553390.1409000391,5551.320899976417,False,15000.0,,True,True,inf,True,5,rafiki,friend,0.3
2,561291.9859000249,1612.4520000303164,True,6316.335282840703,friend,False,True,2159.1676414203516,True,5,rafiki,friend,0.3
3,566090.3330000583,6076.710399938747,False,15000.0,,True,True,inf,True,45,chanjo,scissors,0.3
4,574502.7254000306,1196.226799977012,False,7052.836393914032,sciccors,False,True,2194.418196957016,True,45,chanjo,scissors,0.3
5,580183.7383999955,4621.100399992429,False,15000.0,,True,True,inf,True,33,bibi,grandmother,0.3
6,587146.6103000566,4781.031199963763,False,15000.0,,True,True,inf,True,40,kitanda,bed,0.3
7,594260.772800073,1113.094799919054,True,8684.639662320234,grandmother,False,True,2510.8198311601177,True,33,bibi,grandmother,0.3
8,599325.2802999923,861.5174000151455,True,5832.601286570156,bed,False,True,2416.800643285078,True,40,kitanda,bed,0.3
9,602971.849600086,4817.751699942164,False,15000.0,,True,True,inf,True,32,tabibu,doctor,0.3
10,610137.0129000861,6742.147599929012,False,6744.464709903054,,False,False,2373.232354951527,True,5,rafiki,friend,0.349609375
