trial,start_time,rt,correct,time_bar,keyboard_response,new,on_time,expected_rt,time_bar_visible,fact_id,question,answer,alpha
1,52126.03390001459,3301.1128999642096,False,15000.0,,True,True,inf,True,32,tabibu,doctor,0.3
2,57754.11759997951,945.0233000097796,True,5956.444377642639,doctor,False,True,1979.2221888213194,True,32,tabibu,doctor,0.3
3,62602.36109996913,3696.856700000353,False,15000.0,,True,True,inf,True,3,adui,enemy,0.3
4,68626.67319999309,776.4341000001878,True,5692.695502231016,enemy,False,True,2013.8477511155077,True,3,adui,enemy,0.3
5,73074.99329996062,2640.1452000136487,False,15000.0,,True,True,inf,True,26,siri,secret,0.3
6,78038.73430000385,6788.359900005162,False,15000.0,,True,True,inf,True,42,chama,society,0.3
7,87154.72990000853,887.8356000059284,True,7019.8942760031705,secret,False,True,2510.9471380015852,True,26,siri,secret,0.3
8,92177.81729996204,597.9654000257142,True,7358.477561257983,society,False,True,2513.7387806289917,True,42,chama,society,0.3
9,96971.59629996167,3343.466999998782,False,15000.0,,True,True,inf,True,2,pombe,beer,0.3
10,102637.77159998426,inf,False,6682.861666041584,,False,False,2342.430833020792,True,32,tabibu,doctor,0.349609375
11,111735.3340999689,1035.7208999921568,True,6417.273112199866,beer,False,True,2542.636556099933,True,2,pombe,beer,0.3
12,115614.27749996074,1470.4970000311732,False,6401.033508502942,music,False,True,2368.016754251471,True,3,adui,enemy,0.349609375
13,120110.75799999526,3220.3199999639764,False,15000.0,,True,True,inf,True,6,afisi,office,0.3
14,125656.89019998536,2770.1756000169553,False,15000.0,,True,True,inf,True,57,dhoruba,storm,0.3
15,130753.73329996364,1153.2935000141151,True,6663.82715328725,office,False,True,2332.913576643625,True,6,afisi,office,0.3
16,135020.0781999738,790.9180000424385,True,6177.524938081399,storm,False,True,2256.2624690406997,True,57,dhoruba,storm,0.3
17,139099.0725000156,1112.0398999773897,False,6763.808130252733,music,False,True,2382.9040651263663,True,26,siri,secret,0.349609375
18,143129.07359999372,1785.8835000079125,True,7071.8415549154015,society,False,True,2370.4207774577008,True,42,chama,society,0.250390625
19,148615.2974999859,4019.665799976792,False,6833.661338172511,musicc,False,True,2417.8306690862555,True,32,tabibu,doctor,0.39921874999999996
20,156294.19709998183,3452.792300027795,False,6360.213630334119,secret,False,True,2347.6068151670597,True,3,adui,enemy,0.39921874999999996
21,163013.68859998183,1189.3084000330418,True,6078.264047329657,beer,False,True,2373.1320236648285,True,2,pombe,beer,0.250390625
22,167244.4029999897,3590.5817999737337,False,15000.0,,True,True,inf,True,19,karamu,party,0.3
23,173159.22729996964,2747.8369000018574,False,15000.0,,True,True,inf,True,34,kioo,mirror,0.3
24,178232.36179997912,1082.6105999876745,True,6369.923825287343,party,False,True,2352.4619126436714,True,19,karamu,party,0.3
25,182765.45479998458,525.4579000174999,True,6540.719274260911,mirror,False,True,2271.3596371304557,True,34,kioo,mirror,0.3
26,186789.79319997597,2813.0753000150435,False,6927.3891418370295,secret,False,True,2464.6945709185147,True,32,tabibu,doctor,0.4488281249999999
27,192820.28639997588,1470.4171000048518,True,7034.189909539223,office,False,True,2518.0949547696114,True,6,afisi,office,0.250390625
28,197522.6325999829,1448.2961000176147,False,6642.479593474899,storm,False,True,2488.7397967374495,True,3,adui,enemy,0.4488281249999999
29,203135.12359996093,961.6248000529595,True,6857.26769693731,storm,False,True,2596.133848468655,True,57,dhoruba,storm,0.250390625
30,207128.78869997803,1626.0999999940395,True,7277.559207696986,secret,False,True,2639.779603848493,True,26,siri,secret,0.30000000000000004
31,212110.27419997845,inf,False,6794.2623397613115,do,False,False,2398.1311698806558,True,32,tabibu,doctor,0.4664062499999999
32,221292.60929999873,3334.436899982393,False,6400.100654282432,secret,False,True,2367.550327141216,True,3,adui,enemy,0.4765624999999999
33,228553.22369997157,4137.646400020458,False,6410.843936638949,office,False,True,2372.9219683194747,True,19,karamu,party,0.349609375
34,236148.71079998557,6906.74130001571,False,6838.337244933892,,False,False,2420.168622466946,True,34,kioo,mirror,0.349609375
35,245401.03840001393,1817.7902999450453,False,6846.812370452613,party,False,True,2424.4061852263067,True,32,tabibu,doctor,0.49101562499999996
36,250493.87549998937,6543.256699980702,False,6521.314727696357,,False,False,2428.1573638481786,True,3,adui,enemy,0.5011718749999999
37,259383.14709998667,4531.719200022053,False,15000.0,,True,True,inf,True,50,ujuzi,knowledge,0.3
38,266243.8042999711,1718.9847000408918,True,6454.438923885195,doctor,False,True,2228.2194619425977,True,32,tabibu,doctor,0.490625
39,271100.16339999856,1406.6484000068158,True,7781.803843463631,knowledge,False,True,2392.4019217318155,True,50,ujuzi,knowledge,0.3
40,276467.9570000153,6472.031999961473,False,6463.427425540444,,False,False,2399.213712770222,True,3,adui,enemy,0.5265624999999999
41,285286.1879999982,2236.5787000162527,True,6721.103814801263,party,False,True,2528.0519074006315,True,19,karamu,party,0.32499999999999996
42,290590.8967999858,1619.918600015808,True,7034.377137446494,mirror,False,True,2518.188568723247,True,34,kioo,mirror,0.30000000000000004
43,296717.91519998806,2056.8027999834158,True,6273.242375742353,enemy,False,True,2304.1211878711765,True,3,adui,enemy,0.526171875
44,301770.5022000009,1672.2609999706037,False,6612.352531365769,party,False,True,2307.1762656828846,True,32,tabibu,doctor,0.540234375
45,307261.46820001304,3365.346699953079,False,15000.0,,True,True,inf,True,56,wimbo,song,0.3
46,312953.58520001173,1766.5605999645777,True,6141.852866861655,doctor,False,True,2071.9264334308273,True,32,tabibu,doctor,0.5398437500000001
47,318002.74440000067,920.1253000064753,True,6009.056790451643,song,False,True,2338.5283952258214,True,56,wimbo,song,0.3
48,321843.6104999855,7781.024100026116,False,7747.521190409066,,False,False,2375.260595204533,True,50,ujuzi,knowledge,0.349609375
49,331970.5804999685,1695.220399997197,False,6564.148567879454,secret,False,True,2449.574283939727,True,3,adui,enemy,0.57578125
50,337151.8871000153,2586.8322999449447,True,6427.000944632076,doctor,False,True,2214.500472316038,True,32,tabibu,doctor,0.5769531250000001
51,342776.34619997116,794.3501000409015,True,6029.056689530782,enemy,False,True,2182.028344765391,True,3,adui,enemy,0.575390625

trial,start_time,rt,correct,time_bar,keyboard_response,new,on_time,expected_rt,time_bar_visible,fact_id,question,answer,alpha
1,365253.17420001375,3277.494599984493,False,15000,,True,True,inf,False,47,ufu,death,0.3
2,370856.8189999787,857.8110000235029,True,15000,death,False,True,1977.031343603261,False,47,ufu,death,0.3
3,374994.761799986,4447.9287000140175,False,15000,,True,True,inf,False,63,maji,ice,0.3
4,381770.3736000112,984.3572999816388,True,15000,ice,False,True,2075.35233102668,False,63,maji,ice,0.3
5,385522.17869996093,3024.563000013586,False,15000,,True,True,inf,False,5,rafiki,friend,0.3
6,390873.240099987,5409.385900013149,False,15000,,True,True,inf,False,24,barua,letter,0.3
7,398607.2785999859,1215.0480999844149,True,15000,friend,False,True,2462.883426578823,False,5,rafiki,friend,0.3
8,402795.9404999856,1030.671100015752,True,15000,letter,False,True,2403.3540849144206,False,24,barua,letter,0.3
9,406915.50629999256,6087.445100012701,False,15000,,True,True,inf,False,13,kanisa,church,0.3
10,415328.3502999693,3218.2389000081457,False,15000,ice,False,True,2336.516652370395,False,47,ufu,death,0.349609375
11,421267.3453000025,1415.5613000039011,True,15000,church,False,True,2523.6798778039447,False,13,kanisa,church,0.3
12,426243.32060001325,4423.29049995169,False,15000,,True,True,inf,False,11,roho,soul,0.3
13,432994.6108000004,1488.6727000121027,True,15000,ice,False,True,2417.944604079798,False,63,maji,ice,0.250390625
14,437196.40439999057,894.124299986288,True,15000,soul,False,True,2350.5054272801713,False,11,roho,soul,0.3
15,441099.3462000042,2847.220700001344,False,15000,,True,True,inf,False,64,duka,shop,0.3
16,446274.76639999077,3807.8317000181414,False,15000,,True,True,inf,False,8,rangi,color,0.3
17,452406.78670001216,963.6711999773979,True,15000,shop,False,True,2370.1856476455205,False,64,duka,shop,0.3
18,456516.6279000114,1765.9397999523208,True,15000,color,False,True,2309.618729094454,False,8,rangi,color,0.3
19,461558.39389999164,1228.1333999708295,True,15000,friend,False,True,2514.8306534321123,False,5,rafiki,friend,0.250390625
20,466024.8400999699,2865.659000002779,False,15000,shop,False,True,2523.559730321886,False,24,barua,letter,0.349609375
21,472715.2087999857,1263.2859000004828,True,15000,death,False,True,2561.1931136578123,False,47,ufu,death,0.30000000000000004
22,477200.0975999981,6514.3940999987535,True,15000,church,False,True,2430.289688577946,False,13,kanisa,church,0.349609375
23,487860.6904000044,3149.79559998028,False,15000,song,False,True,2377.5451260843743,False,11,roho,soul,0.349609375
24,493933.6893999716,3788.8057000236586,False,15000,,True,True,inf,False,25,keja,house,0.3
25,500048.7157999887,6633.77259997651,False,15000,,True,True,inf,False,31,kijana,boy,0.3
26,509007.40930001484,1014.7269999724813,True,15000,house,False,True,2556.6600068475013,False,25,keja,house,0.3
27,512989.45260001346,692.935699946247,True,15000,boy,False,True,2455.696920273005,False,31,kijana,boy,0.3
28,516769.4562000106,2683.119199995417,False,15000,song,False,True,2539.7462448280153,False,64,duka,shop,0.349609375
29,523363.66949998774,1118.7609999906272,True,15000,color,False,True,2574.6380147946375,False,8,rangi,color,0.250390625
30,527733.3138000104,1845.1311999815516,True,15000,letter,False,True,2613.9777330821935,False,24,barua,letter,0.30000000000000004
31,532607.0560999797,1815.3776000253856,True,15000,church,False,True,2516.0008954024397,False,13,kanisa,church,0.30000000000000004
32,537794.1186999669,4949.38370003365,True,15000,soul,False,True,2449.3989111395026,False,11,roho,soul,0.39921874999999996
33,545898.8194999984,3463.8486999901943,False,15000,,True,True,inf,False,27,basi,bus,0.3
34,551691.2597999908,3351.138899975922,False,15000,,True,True,inf,False,1,jicho,eye,0.3
35,557369.7987999767,1064.5734000136144,True,15000,bus,False,True,2379.122837492693,False,27,basi,bus,0.3
36,561339.4160000025,1286.9658999843523,True,15000,eye,False,True,2273.9370460189652,False,1,jicho,eye,0.3
37,565478.6329999915,2843.7371000181884,True,15000,shop,False,True,2474.051594098823,False,64,duka,shop,0.38749999999999996
38,571309.510799998,inf,False,15000,ice,False,True,2500.472189099248,False,25,keja,house,0.349609375
39,586606.6120999749,1051.7364999977872,True,15000,soul,False,True,2614.5057400485343,False,11,roho,soul,0.398828125
40,590643.892699969,1147.8583000134677,True,15000,boy,False,True,2667.826830024078,False,31,kijana,boy,0.250390625
41,595066.7869999888,3559.5930999843404,False,15000,,True,True,inf,False,44,tunda,fruit,0.3
42,600950.9690999985,4923.317799984943,False,15000,,True,True,inf,False,36,bustani,garden,0.3
43,608199.7019000119,1114.680899947416,True,15000,fruit,False,True,2465.2514545897775,False,44,tunda,fruit,0.3
44,612322.8698999737,480.8658999972977,True,15000,garden,False,True,2373.7190570773946,False,36,bustani,garden,0.3
45,616914.8645999958,1127.4138999870047,True,15000,shop,False,True,2531.8452787245064,False,64,duka,shop,0.38398437499999993
46,621134.5112000126,1081.1138999997638,True,15000,bus,False,True,2532.096157436121,False,27,basi,bus,0.250390625
47,625090.4370999779,14839.78640002897,False,15000,s,False,False,2544.780928552584,False,1,jicho,eye,0.349609375
48,642472.0576999825,inf,True,15000,house,False,True,2693.423151795053,False,25,keja,house,0.39921874999999996

