trial,start_time,rt,correct,time_bar,keyboard_response,new,on_time,expected_rt,time_bar_visible,fact_id,question,answer,alpha
1,15406.37300000526,14054.515700030606,False,15000.0,,True,True,inf,True,2,pombe,beer,0.3
2,31791.14790004678,933.3733000094071,True,6559.66741792456,beer,False,True,2613.83370896228,True,2,pombe,beer,0.3
3,36118.549400009215,14974.023699993268,False,15000.0,,True,True,inf,True,36,bustani,garden,0.3
4,53415.81140004564,1106.938699958846,True,7301.522271385949,garden,False,True,2651.7611356929747,True,36,bustani,garden,0.3
5,57869.79900003644,10334.734599979129,False,15000.0,,True,True,inf,True,6,afisi,office,0.3
6,70530.69410001626,10465.7938000164,False,15000.0,,True,True,inf,True,8,rangi,color,0.3
7,83324.67290002387,4452.4198999861255,False,7879.548602325787,garden,False,True,2940.7743011628936,True,6,afisi,office,0.3
8,91342.7495000069,3361.1910000327043,True,7236.9240707635345,color,False,True,2785.9620353817672,True,8,rangi,color,0.3
9,97918.16530004144,2214.3012000015005,True,6407.257117715169,beer,False,True,2537.6285588575847,True,2,pombe,beer,0.262109375
10,102923.94980002427,7496.477700013202,False,15000.0,,True,True,inf,True,47,ufu,death,0.3
11,112748.75910003902,1415.6228000065312,True,6923.276738524056,garden,False,True,2462.638369262028,True,36,bustani,garden,0.250390625
12,117542.04880003817,1190.325599978678,True,6736.953358444613,death,False,True,2535.9766792223063,True,47,ufu,death,0.3
13,122100.21630005213,10408.185599953867,False,15000.0,,True,True,inf,True,70,farasi,horse,0.3
14,134833.23520002887,2561.7263999884017,True,6740.84449306692,office,False,True,2371.42224653346,True,6,afisi,office,0.32539062499999993
15,140621.574000048,1470.3392999945208,True,7066.001497676667,horse,False,True,2700.5007488383335,True,70,farasi,horse,0.3
16,145214.88920005504,1179.9664999707602,True,6460.499420066152,color,False,True,2397.749710033076,True,8,rangi,color,0.250390625
17,150421.41530005028,6854.94980000658,False,15000.0,,True,True,inf,True,52,lango,door,0.3
18,159603.06970000966,6553.521000023466,False,15000.0,,True,True,inf,True,73,mbwa,dog,0.3
19,168481.8524000002,2786.466300021857,True,6696.841654815041,door,False,True,2682.4208274075204,True,52,lango,door,0.3
20,174341.69359999942,1471.4704000507481,True,6081.982841998847,dog,False,True,2541.4914209994236,True,73,mbwa,dog,0.3
21,179002.90820002556,1193.38070001686,True,6650.224146068554,death,False,True,2492.612073034277,True,47,ufu,death,0.250390625
22,183489.5868000458,7002.723399957176,False,15000.0,,True,True,inf,True,23,shukuru,thanks,0.3
23,192820.66070003202,3543.613000016194,True,6423.734128885398,horse,False,True,2379.367064442699,True,70,farasi,horse,0.349609375
24,200578.4365000436,1273.9811000064947,True,7284.448454894287,thanks,False,True,2643.2242274471437,True,23,shukuru,thanks,0.3
25,205748.6288000364,4943.676800001413,False,15000.0,,True,True,inf,True,29,skati,skirt,0.3
26,213014.51720000478,2997.9473000275902,True,6886.830427262889,office,False,True,2444.4152136314447,True,6,afisi,office,0.3734375
27,219772.0911000506,1034.6284999977797,True,6681.584775522072,skirt,False,True,2508.292387761036,True,29,skati,skirt,0.3
28,223984.24300004262,1179.6048000105657,True,6168.73088758266,door,False,True,2418.36544379133,True,52,lango,door,0.250390625
29,228117.5968000316,inf,True,5806.303413165356,dog,False,True,2403.651706582678,True,73,mbwa,dog,0.349609375
30,233747.92829999933,4568.242100009229,False,15000.0,,True,True,inf,True,66,dunia,world,0.3
31,240638.29010003246,1189.9028000188991,True,6479.2772502861835,horse,False,True,2407.1386251430918,True,70,farasi,horse,0.30000000000000004
32,244942.00270000147,1398.2786000124179,True,6392.874190550265,world,False,True,2363.9370952751324,True,66,dunia,world,0.3
33,250299.3161000195,4208.887299988419,False,15000.0,,True,True,inf,True,18,baba,father,0.3
34,256832.55300001474,1179.731799988076,True,6854.562669756795,thanks,False,True,2428.2813348783975,True,23,shukuru,thanks,0.250390625
35,261341.57390001928,3507.2859000065364,True,6708.998897787207,father,False,True,2355.4994488936036,True,18,baba,father,0.3
36,267820.35770005314,1807.8070999472402,True,7017.320623649038,office,False,True,2509.660311824519,True,6,afisi,office,0.373046875
37,272741.6907000006,1438.4785000002012,True,6456.284959168842,skirt,False,True,2395.642479584421,True,29,skati,skirt,0.250390625
38,278275.05100000417,1324.9287000508048,True,5895.239906989365,dog,False,True,2448.1199534946827,True,73,mbwa,dog,0.30000000000000004
39,283414.5116000436,9045.836300007068,False,15000.0,,True,True,inf,True,34,kioo,mirror,0.3
40,294783.8983000256,1398.2023000135086,True,6396.51304650585,world,False,True,2365.756523252925,True,66,dunia,world,0.250390625
41,299275.22550005233,1488.9791999594308,True,7180.756847935,mirror,False,True,2591.3784239675,True,34,kioo,mirror,0.3
42,304238.51940000895,5653.604799997993,False,15000.0,,True,True,inf,True,35,tofaa,apple,0.3
43,312220.69340001326,1760.9006999991834,True,6757.818488701688,father,False,True,2379.909244350844,True,18,baba,father,0.250390625

