trial,start_time,rt,correct,time_bar,keyboard_response,new,on_time,expected_rt,time_bar_visible,fact_id,question,answer,alpha
1,23308.1904000137,2328.226999961771,False,15000.0, ,True,True,inf,True,20,sauti,voice,0.3
2,30781.803000019863,1437.904000049457,True,5921.698640519866,voice,False,True,2128.349320259933,True,20,sauti,voice,0.3
3,35423.375500016846,2624.232199974358,False,15000.0,,True,True,inf,True,54,degaga,glasses,0.3
4,40376.13540003076,992.6054000388831,True,6163.095451838855,glasses,False,True,1916.0477259194279,True,54,degaga,glasses,0.3
5,45099.64240004774,3525.5966999102384,False,15000.0,,True,True,inf,True,40,kitanda,bed,0.3
6,50953.44539999496,2754.550699959509,False,15000.0,,True,True,inf,True,10,kamba,rope,0.3
7,56035.984899965115,1671.8056000536308,True,5698.12938406296,bed,False,True,2349.56469203148,True,40,kitanda,bed,0.3
8,60419.38279999886,2285.2646000683308,True,5857.356307347277,rope,False,True,2262.6781536736385,True,10,kamba,rope,0.3
9,65542.57359995972,1797.618400072679,False,15000.0,,True,True,inf,True,21,bahari,sea,0.3
10,69665.3639000142,1661.763499956578,False,15000.0,,True,True,inf,True,48,chapati,bread,0.3
11,73657.47330000158,1202.7662000618875,True,5347.132563497731,sea,False,True,2174.0662817488655,True,21,bahari,sea,0.3
12,77701.25250006095,701.4992999611422,True,6002.146886904381,bread,False,True,2168.5734434521905,True,48,chapati,bread,0.3
13,81494.26339997444,3470.0006000930443,False,6470.9581657287,music,False,True,2402.97908286435,True,20,sauti,voice,0.349609375
14,87965.10090003721,997.8374999482185,False,7120.685883877276,music,False,True,2394.842941938638,True,54,degaga,glasses,0.349609375
15,92001.53080001473,2686.698899953626,False,15000.0,,True,True,inf,True,72,fasihi,book,0.3
16,97019.01709998492,1978.6152000306174,False,15000.0,,True,True,inf,True,51,chunga,pot,0.3
17,101325.54059999529,2561.509000021033,False,5839.606398426206,pot,False,True,2253.803199213103,True,72,fasihi,book,0.3
18,106667.42850001901,1400.6323999492452,True,5546.905418901075,pot,False,True,2273.9527094505374,True,51,chunga,pot,0.3
19,110851.42299998552,3071.6443000128493,False,5859.270488218569,rope,False,True,2430.1352441092845,True,40,kitanda,bed,0.349609375
20,117192.46060005389,1013.0010999273509,True,6259.259222421954,rope,False,True,2463.629611210977,True,10,kamba,rope,0.250390625
