    trial_num  trial_start_time          rt  correct   prompt    answer response
0           1        19854.3391  13180.0275    False   kijana       boy       ho
1           2        36850.4074         inf    False  maslahi  interest  intrest
2           3        49438.7065   3435.6004     True   maziwa      milk     milk
3           4        56063.2503   3356.4037     True   kanisa    church   church
4           5        62729.8989   1531.6894     True   fasihi      book     book
5           6        66977.8138   2538.8719     True    elimu   science  science
6           7        73092.9039   5157.4489     True    jioni   evening  evening
7           8        81335.3291     17.1927    False     keja     house         
8           9        83286.8853   1851.4515     True     siri    secret   secret
9          10        88196.0544   2241.4892     True     maji       ice      ice
10         11        93419.8303   1286.5397     True    jicho       eye      eye
11         12        98250.8337   2295.5825     True     adui     enemy    enemy
12         13       104074.7708   3599.6219     True   kichwa      head     head
13         14       110117.0459   5562.3535     True    tofaa     apple    apple
14         15       118166.9535  15047.0879    False     kioo    mirror         
15         16       135165.2130   1541.0411     True     baba    father   father
16         17       140419.5866   1411.2253     True    dunia     world    world
17         18       144461.8366   1484.3237     True    skati     skirt    skirt
18         19       149953.2789   1720.8860     True  shukuru    thanks   thanks
19         20       155068.5833   2053.6348     True     mbwa       dog      dog
20         21       159438.5355   1683.5828     True    lango      door     door
21         22       164203.2623   1246.8981     True   farasi     horse    horse
22         23       168370.7725   4278.4746     True      ufu     death    death
23         24       175413.0933   1308.5763     True    rangi     color    color
24         25       180182.8307   2251.2927    False    afisi    office    enemy
25         26       186147.1904   1956.3675     True  bustani    garden   garden
26         27       190971.4869   1982.7293     True    pombe      beer     beer
