trial,start_time,rt,correct,time_bar,keyboard_response,new,on_time,expected_rt,time_bar_visible,fact_id,question,answer,alpha
1,126000.30919996789,5825.362400035374,False,15000,,True,True,inf,False,19,karamu,party,0.3
2,134168.2359999977,1195.9932000027038,True,15000,party,False,True,2177.731756100829,False,19,karamu,party,0.3
3,139498.6602999852,7290.689999994356,False,15000,,True,True,inf,False,55,likizo,holidays,0.3
4,149145.44779999414,894.4711000076495,False,15000,holiday,False,True,2273.853034263562,False,55,likizo,holidays,0.3
5,154657.9464999959,4578.659799997695,False,15000,,True,True,inf,False,10,kamba,rope,0.3
6,161588.75299995998,4940.432200033683,False,15000,,True,True,inf,False,70,farasi,horse,0.3
7,168884.43480001297,inf,True,15000,rope,False,True,2517.835410837293,False,10,kamba,rope,0.3
8,179546.92499997327,1296.008300036192,True,15000,horse,False,True,2678.365727706273,False,70,farasi,horse,0.3
9,184894.00999998907,1714.5201999810524,True,15000,party,False,True,2396.5015497789145,False,19,karamu,party,0.250390625
10,190457.39519997733,7540.360299986787,False,15000,,True,True,inf,False,54,degaga,glasses,0.3
11,200338.05319998646,1812.6287999912165,True,15000,holidays,False,True,2391.5924640450307,False,55,likizo,holidays,0.250390625
12,210548.582599964,1613.1258000386879,True,15000,glasses,False,True,2759.8106718833214,False,54,degaga,glasses,0.3
13,216579.52329999534,4212.088899977971,False,15000,,True,True,inf,False,26,siri,secret,0.3
14,223142.39950000774,1446.556699986104,True,15000,rope,False,True,2410.71298139299,False,10,kamba,rope,0.250390625
15,227790.24950001622,1196.827499952633,True,15000,secret,False,True,2364.857682041747,False,26,siri,secret,0.3
16,233155.7291999925,1279.807000013534,True,15000,horse,False,True,2396.4986175297013,False,70,farasi,horse,0.250390625
17,238120.11819996405,3171.862700022757,False,15000,,True,True,inf,False,40,kitanda,bed,0.3
18,243635.2017999743,3321.1834999965504,False,15000,,True,True,inf,False,33,bibi,grandmother,0.3
19,249315.38429996,1845.0049000093713,True,15000,bed,False,True,2364.0030096713376,False,40,kitanda,bed,0.3
20,254262.733999989,1049.487499985844,True,15000,grandmother,False,True,2332.028191392701,False,33,bibi,grandmother,0.3
21,261909.861299966,1495.1442000456154,True,15000,glasses,False,True,2368.6553837580914,False,54,degaga,glasses,0.250390625
22,267576.13709999714,5477.445999975316,False,15000,,True,True,inf,False,34,kioo,mirror,0.3
23,275403.36200001184,4307.982800004538,False,15000,,True,True,inf,False,60,duara,wheel,0.3
24,282066.28939998336,1096.115100022871,True,15000,mirror,False,True,2530.0874057155133,False,34,kioo,mirror,0.3
25,286947.45719997445,3927.7490000240505,True,15000,wheel,False,True,2383.089692086455,False,60,duara,wheel,0.3
26,294530.2836999763,1356.1914000310935,True,15000,secret,False,True,2566.5056693673155,False,26,siri,secret,0.250390625
27,300057.92900000233,1291.6607999941334,True,15000,bed,False,True,2377.4491104427243,False,40,kitanda,bed,0.250390625
28,304373.4370999737,1245.4417000408284,True,15000,grandmother,False,True,2371.9000907208238,False,33,bibi,grandmother,0.250390625
29,311253.31050000386,6617.131499981042,False,15000,,True,True,inf,False,44,tunda,fruit,0.3
30,320218.5491999844,3277.850100013893,False,15000,,True,True,inf,False,47,ufu,death,0.3
31,325846.00419999333,2158.9592000236735,True,15000,fruit,False,True,2534.8101750270425,False,44,tunda,fruit,0.3
32,331559.9942000117,1151.794199948199,True,15000,death,False,True,2372.0513658714713,False,47,ufu,death,0.3
33,336423.68439998245,1359.9684999790043,True,15000,mirror,False,True,2411.225925527476,False,34,kioo,mirror,0.250390625
34,341638.5777000105,1329.4440999743529,True,15000,wheel,False,True,2425.5674287006645,False,60,duara,wheel,0.250390625
35,346504.0042999899,3460.092999972403,False,15000,,True,True,inf,False,2,pombe,beer,0.3
36,352317.3657999723,3440.5008000321686,False,15000,,True,True,inf,False,53,wakati,alarm,0.3
37,358114.5042999997,1045.348500018008,True,15000,beer,False,True,2386.677229165812,False,2,pombe,beer,0.3
38,362461.7883999599,945.465300057549,True,15000,alarm,False,True,2303.863800471024,False,53,wakati,alarm,0.3
39,366911.0585000017,2377.6622000150383,False,15000,,True,True,inf,False,27,basi,bus,0.3
40,371641.9759999844,4396.306200011168,False,15000,,True,True,inf,False,39,chakula,food,0.3
41,378388.1870000041,14988.826899963897,False,15000,,False,False,2379.457138789386,False,27,basi,bus,0.3
42,395799.15969999274,1643.1538999895565,True,15000,food,False,True,2899.644069393374,False,39,chakula,food,0.3
43,401126.9093999872,1348.8075999775901,True,15000,fruit,False,True,2636.22083723406,False,44,tunda,fruit,0.250390625
44,405742.4911999842,1029.097200022079,True,15000,death,False,True,2643.8252833885003,False,47,ufu,death,0.250390625
45,410406.7531999899,1029.5557000208646,True,15000,beer,False,True,2395.4139948925013,False,2,pombe,beer,0.250390625

trial,start_time,rt,correct,time_bar,keyboard_response,new,on_time,expected_rt,time_bar_visible,fact_id,question,answer,alpha
1,442248.5943000065,7005.882799974643,False,15000.0,,True,True,inf,True,4,jioni,evening,0.3
